Name of contributor and date uploaded,Date of event (M/D/YYYY),Source,Citation (MLA),Violation,Summary,Notes,Classification,
Thomas Fendig,1/17/2025,Trump Targets a Growing List of Those He Sees as Disloyal - NYT,"Broadwater, Luke. ""Trump Orders U.S. Diplomats to Scour Student Visa Applicants’ Social Media."" The New York Times, 17 Jan. 2025, https://www.nytimes.com/2025/03/25/us/politics/rubio-immigration-students-ozturk-chung-khalil.html.","These actions taken by Trump represent an unprecedented and deep attack on layers of government and society that have opposed him. Most of the actions listed in the article represent the President operating within his constitutional and lawful authority, however, he has weaponized it against his enemies in a way that does not appear to have occured before in American History. In this endeavor, he has violated significant democratic norms.","President Trump has led an unprecendented push to target those he views as disloyal. Since taking office, the President has revoked the security clearances of lawyers who represented clients thah have opposed him, pulled protective details from former officials who he does not like, revokd security clearances from members of the previous administration, fired independent inspector generals who released reports contrary to his administration's agenda, investigated the prosecutors who refused to drop charges against Eric Adams, attacked opposition journalists, and begun a large scale investigation into the prosecutors who investigated January 6th.",,Norm Violation,
Thomas Fendig,3/15/2025,‘They need to see the institutions experiencing pain’ - POLITICO,"Quilantan, Bianca, and Madina Touré. ""‘They Need to See the Institutions Experiencing Pain’."" Politico, 15 Mar. 2025, https://www.politico.com/news/2025/03/15/colleges-federal-funding-shock-trump-antisemitism-00231160","Higher education is often a form of anti-government dissent. While the current administration's laws appear to fall within legality, a broader crackdown on higher education could weaken civil society capacity to oppose government overreach.","The Trump administration has revoked Columbia University's federal funding, citing concerns over Columbia's pro-Palestinian student protests and the University's alleged inaction towards anti-semitism. Additionally, the Education Department has launched investigations into 60 schools, while the administration's task force on antisemitism plans to visit 10 schools. While the administration bills this as an effort to stop anti-semitism on college campuses, faculty, university officials, and democratic lawmakers worry that this is an attempt to stifle dissent and crack down on higher education",,Norm Violation,
Naomi York,3/19/2025,White House plans to Pause $175 million for Penn over Transgender Policy- NYT,"Savage, Charlie, and Alan Feuer. ""Trump to Pause $175 Million for University of Pennsylvania Over Transgender Policy."" The New York Times, 19 Mar. 2025, https://www.nytimes.com/2025/03/19/us/politics/trump-to-pause-175-million-for-university-of-pennsylvania-over-transgender-policy.html","The Trump Administration has decided to cut funding to Penn an institution which has historically embraced trans athletes (Lia Thomas). This is taking agency away from institutions where, in a democractic society, should have the power to oppose government reach to this extent. It is also taking money away from a place of education, where civil society can learn.","Although the administration has not delineated its specifics in how it will cut funding, Penn said it was “aware of media reports suggesting a suspension of $175 million in federal funding to Penn” but that it had not “received any official notification or any details” from the government.",,Norm Violation,
Naomi York,3/14/2025,"Exectutive order- ""Addressing risks from Paul Weiss"" ","Trump, Donald J. “Addressing Risks from Paul Weiss.” The White House, 14 Mar. 2025, https://www.whitehouse.gov/presidential-actions/2025/03/addressing-risks-from-paul-weiss/.","A cutting of government sponsorship for Paul, Weiss, Rifkind, Wharton & Garrison LLP (Paul Weiss). Continued punishment of political enemies. ","This law firm, in 2021 brought bro bono suits against insurrectionists from January 6, 2021. This law firm also uses DEI to ensure diversity within their staff. This seems to be clear targeting of a law firm that has gone after the Jan. 6ers in the past, along with continuing to exercise DEI after it has been struck down. The order has suspended all security clearances, and granted little official access to federal government buildings. ","Trump Escalates Fight With Big Law Firms, Targeting Paul Weiss - WSJ",Unconstitutional,
"Thomas Fendig, 3/20/2025",3/17/2025,Trump says he’s ending Secret Service protection for Biden’s adult children - AP,"Miller, Zeke, and Michelle L. Price. ""Trump Ends Secret Service Protection for Hunter Biden, Ashley Biden."" Associated Press, 17 Mar. 2025, https://apnews.com/article/hunter-biden-trump-secret-service-ashley-50eba3fcd1ef9d2580fb4bc464d229f6.","Trump ending the secret service protection early is legal and permitted, but violated recent precedent and continues his administrations targetting of percieved political opponents. ","President Trump has revoked the security details for Hunter and Ashley Biden, the children of President Joe Biden. A former President's immediate family is not guaranteed protection after leaving office, but outgoing Presidents are allowed to extend their protections for up to six months. Trump, Biden, Obama, and Bush have all done so. ",,Norm Violation,
Thomas Fendig 3/24/2025,3/22/2025,"With New Decree, Trump Seeks to Cow the Legal Profession - NYT",,This memorandum escalates the Trump administration's retributive campaign toward major law firms. Law firms are a major part of civil society and the administration's efforts appear to weaken civil society's will and capacity to resist the administraitons crackdown. This also represents a further politicization of the Justice System. It appears to violate first Amendment protections and certainly violated established government norms. ,"The Trump administration has issued a memorandum directed the Justice and Homeland Security Departments to “seek sanctions against attorneys and law firms who engage in frivolous, unreasonable and vexatious litigation against the United States” or in matters that come before federal agencies. ",https://www.whitehouse.gov/presidential-actions/2025/03/preventing-abuses-of-the-legal-system-and-the-federal-court/,Unconstitutional,
Thomas Fendig (3/26/2025),3/25/2025,Trump’s Old Grudge Fuels Swipe at a New Law Firm - NYT,"Barrett, Devlin. “Trump Signs Executive Order Targeting New Law Firm, Jenner & Block.” The New York Times, 25 Mar. 2025, www.nytimes.com/2025/03/25/us/politics/trump-executive-order-law-firm-jenner-block.html.",This represents a continuation of the President's campaign against high-profile law firms for their role in employing or assisting President Trump's perceived political enemies. This campaign has restricted the right to counsel for the President's perceived politican enemies and represents an attack on civil society. ,"President Trump signed an Executive Order targetting Jenner and Block, by revoking the law firms security clearances, government contracts, and government access. Jenner and Block had employed Andrew Weissmann following his work for special counsel Robert Mueller during the first Trump Administration. Mueller and Weissman had investigated Trump and the Trump campaign for potential ties to Russia. This continues the President's campaign against high profile law firms.",,Unconstitutional,
Colin Hulett                     3/27/25,3/27/2025,Trump Targets Robert Mueller’s Former Law Firm in Executive Order - WSJ,"Mulvaney, Erin, et al. ""Trump Targets Robert Mueller’s Former Law Firm in Latest Executive Order."" The Wall Street Journal, 27 March. 2025, https://www.wsj.com/politics/trump-targets-robert-muellers-former-law-firm-in-latest-executive-order-96eb9d1b?mod=hp_lead_pos1","President Trump's latest executive order targets WilmerHale, a law firm whose members were involved in investigations against the President. This represents another attack on Trump's perceived enemies.  ","This executive order was signed on March 27th, 2025, and aims to remove WilmerHale’s security clearance, restrict its access to federal buildings, and terminate its government contracts. The executive order cites that this move comes from the firm's ties to Robert Mueller, who served as special counsel during 2017 to uncover Trump’s ties to Russia. The firm cites that it is “pursuing all appropriate remedies to this unlawful order.”",,Unconstitutional,
"Thomas Fendig, 4/1/2025",4/1/2025,Universities Sprint From ‘We Will Not Cower’ to Appeasing Trump - WSJ,"Severns, M. (2025, March 23).  Universities Sprint From ‘We Will Not Cower’ to Appeasing Trump. Wall Street Journal. https://www.wsj.com/us-news/education/universities-trump-lobbyists-funding-washington-a2e5c77a?st=vAGkYm&reflink=desktopwebshare_permalink","This article highlights a lack of resistance among Universities against the Trump administration and shows the impact of the administration's campaign. Universities can often be a source of civil society resistance during times of democratic backsliding or government overreach, but the Trump administration's targeting of higher-education institutions appear to have silenced much of civil society's colleges and universities.","As a result of the Trump administration's targetted campaign against higher education institutions, colleges, and universities have mostly abandoned their attempts to resist and have attempted to appease the administration. Columbia University has agreed to a long list of conditions with the administration in an attempt to retain federal funding, while multiple schools, including Stanford, Duke, Wake Forest, Harvard, and Vanderbilt, have hired high-ranking former Republicans lawmakers or advisors as lobbyists. Meanwhile, Republicans are continuing their push against education institutions, as lawmakers propose taxes on endowments or loan repayment programs. ",,Norms Violation,
"Thomas Fendig, 4/2/2025",4/2/2025,Nobel Laureate and Ex-Leader of Costa Rica Says U.S. Revoked His Visa - NYT,"""Former Costa Rican President, a Trump Critic, Says U.S. Revoked His Visa."" Axios, 2 Apr. 2025, www.axios.com/2025/04/02/former-costa-rica-president-visa-revoked-oscar-arias.","Since Óscar Arias does not reside within the United States, free speech protections may not apply to him under the constitution. However, revoking the visa of a former foreign government official for criticizing government policy or action would depart from the established democratic norms regarding speech and expression in the United States,","The State Department has revoked the visa of former Costa Rican President Óscar Arias Sánchez. It is unclear why his visa was revoked, but Mr. Arias had recently criticized the Trump administration on social media, comparing Trump to a ""Roman emperor."" The State Department has begun revoking visas for individuals they deem hostile ""towards US citizens or US culture (including government, institutions, or founding principles."" ",,Norm Violation,
"Stephanie Lopez, 4/3/2025",3/7/2025,Columbia University: Trump Administration cancels $400 in grants and contracts with Columbia University,"""Trump Administration Cancels $400 Million in Grants and Contracts to Columbia University."" CNN, 7 Mar. 2025, www.cnn.com/2025/03/07/us/columbia-university-grants-canceled-trump/index.html.","Columbia University has become Trump's first target to cut federal money to colleges accused of tolerating antisemitism during the Israel-Hamas war. This is a norm violation, as many students rely on this money to further their studies. His administration cannot withhold enacted federal funding. It is an arbitrarily harmful action that undermines the established legal processes and further threatens academic research. ","The Trump Administration canceled $400 million from Columbia University, this includes federal grants and contracts because they describe the university as failing to suppress antisemitism on campus. They claim that universities ""must comply with all federal antidiscrimination laws if they are going to receive federal funding"". ",,Norm Violation,
Thomas Fendig (4/3/2025),4/3/2025,Trump Administration Threatens to Withhold Funds From Public Schools - NYT,"Bender, M. C. (2025, April 3). Trump administration threatens to withhold funds from public schools. The New York Times. https://www.nytimes.com/2025/04/03/us/politics/public-school-funding-trump-dei.html?smid=url-share"," The targetting of public schools for their diversity and equity policies could continue a crackdown on education, which is integral to civil society. However, it is unclear if the administration violated any norms, laws, or constitutional provisions in their memo. ","The Trump Administration has threatened to revoke Title 1 funding for public schools who fail to verify the elimination of diversity, equity, and inclusion policies. Title 1 funding is given to schools with a high-percentage of low-income students. ",,Social Contradiction,
Thomas Fendig (4/7/2025),4/1/2025,Trump Pauses Dozens of Federal Grants to Princeton - NYT,"Blinder, A., & Hartocollis, A. (2025, April 1). Trump pauses dozens of federal grants to Princeton. The New York Times. https://www.nytimes.com/2025/04/01/us/trump-federal-grants-princeton.html?smid=url-share","Pausing federal funding from Princeton University continues the administration's unprecedented push against Ivy League Universities. While the administration claims they are targetting the University's over anti-semitism on campus, the funding pause undermines academic freedom, which is an important part of civil society capacity and will. This unprecedented attaclk on academic freedom represents a norm-violation","The Trump Administration has paused several dozen grants to Princeton University. While Princeton had received a letter from the Department of Education that warned against ""potential enforcement action,"" Princeton did not receive the same scrutiny as other Ivy League Universities. Princetom is the fourth Ivy League to see funding revoked, after Columbia, UPenn, and Harvard. ",,Norm Violation,
"Tali Levine, 4/14/25",4/14/25,Trump freezes $2bn in Harvard funding after university rejects demands,"Drenon, Brandon. “Trump Freezes $2bn in Harvard Funds after It Rejects Demands.” BBC News, BBC, 14 Apr. 2025, www.bbc.com/news/articles/cz01y9gkdm3o. ","The government's demands violate Harvard’s First Amendment rights, exceed the statutory limits of the government’s authority under federal civil rights law, and threaten the private institution’s values. ","The Trump administration has said it is freezing more than 2 billion dollars in federal funds for Harvard University, hours after the elite college rejected a list of demands from the White House.",,Norm Violation,
Sofie Quirk,4/18/2025,Noem (DHS Secretary) threatens Harvard’s ability to enroll international students- POLITICO,"Friedman, Amanda. “Noem Threatens Harvard’s Ability to Enroll International Students - Politico.” POLITICO, 17 Apr. 2025, www.politico.com/news/2025/04/17/trump-administration-punish-harvard-00295445. Accessed 18 Apr. 2025.","The government's continued threats against Harvard violate their first right to free speech and legal right to admit any students they view as elligible. As it stands, approximately 27.2% of Harvard students are international. ","The Trump administration, specifically DHS Secretary Kristi Noem, have threatened to remove Harvard's Student and Exchange Visitor Program (SEVP) certification. With the ""immediate removal"" of their SEVP certification, all 6793 international students at Harvard would be stripped of their legally obtained student visas, making them elligible for deportation. ","international student data obtained from “International Students at Harvard: One Harvard, One World.” One Harvard One World, oneworld.worldwide.harvard.edu/international-students-at-harvard/. Accessed 18 Apr. 2025. ",Norm Violation,
Thomas Fendig 4/11/2025,4/11/2025,Five More Big Law Firms Reach Deals With Trump - NYT,"Goldstein, Matthew. ""Five More Big Law Firms Reach Deals With Trump."" The New York Times, 11 Apr. 2025, www.nytimes.com/2025/04/11/business/trump-law-firms-kirkland-ellis-latham-watkins.html.","This article shows the Trump Administration's continued targeting of major law firms and the different strategies those law firms have taken in response. The Trump administration's pressure campaign against law firms appears to violate the constitutional right to legal representation and represents an unprecedented crackdown on civil society dissent. The article highlights some firms' decisions to negotiate and strike deals with law firms, while others have filed lawsuits. ","Five majors law firms; Kirkland & Ellis, Latham and Watkins, A&O Shearman; Simpson Thacher & Bartlett; and Wickersham & Taft; have agreed to deals with the Trump administration to provide a total of 600 million dollars worth of pro bono legal work for the administration. After these talks, major law firms have agreed to provide a combined $940 million of free legal work for the Trump Administration. Some law firms are taking matters to court, and Judges have temporarily stayed the orders against Perkins Coie, WilmerHale, and Jenner & Block. Another firm, Susan Godfrey, has also filed suit. ",,Unconstitutional,
"Tali Levine, 4/21/25",4/13/25,President Trump says CBS and ’60 Minutes’ should ‘pay a big price’ for going after him,"Bauder, David. “President Trump Says CBS and ‘60 Minutes’ Should ‘Pay a Big Price’ for Going after Him.” AP News, AP News, 14 Apr. 2025, apnews.com/article/trump-cbs-60-minutes-2c8a32df63f3ec50cfffe94a26436fda. ","The government is not supposed to punish news organizations for reporting stories, even if they are critical. Trump's actions went against this principle by trying to silence criticism through government power.","After ‘60 Minutes’ broadcast segments on Ukraine and Greenland, Trump called for CBS to lose its broadcasting license, baselessly referring to the news program as “a dishonest Political Operative” and urging FCC chairman Brendan Carr to “impose the maximum fines and punishment” for the network’s “unlawful and illegal behavior.”",,Norm Violation,
"Tali Levine, 4/21/25",4/14/25,https://www.whitehouse.gov/articles/2025/04/the-npr-pbs-grift-has-ripped-us-off-for-too-long/,"“The NPR, PBS Grift Has Ripped Us off for Too Long.” The White House, The United States Government, 15 Apr. 2025, www.whitehouse.gov/articles/2025/04/the-npr-pbs-grift-has-ripped-us-off-for-too-long/. ","Criticizing these programs as “radical, woke propaganda” undermines the democratic values of free speech and a free press, which are supposed to be protected and upheld by the government.","The White House website published an article titled “The NPR, PBS Grift Has Ripped Us Off for Too Long.” The article accused the public broadcasters of spreading “radical, woke propaganda disguised as ‘news.’” Among the “examples” of so-called propaganda the article referenced were a 2024 documentary about reparations, a 2020 Sesame Street town hall on CNN titled “Coming Together: Standing Up To Racism,” and a 2020 podcast on fat-phobia and its racist past.",,Norm Violation,
"Tali Levine, 4/21/25",4/25/25,Justice Dept. Policy Now Allows Pursuit of Reporters’ Records in Leak Inquiries - NYT,"Barrett, Devlin and Thrush, Glenn. ""Justice Dept. Policy Now Allows Pursuit of Reporters’ Records in Leak Inquiries"" The New York Times, 25 Apr. 2025. https://www.nytimes.com/2025/04/25/us/politics/leak-investigations-media.html?smid=url-share ","This policy change strips reporters of previous protections from efforts to identify and prosecute leakers. This new, harsher than previously implement, policy undermines journalistic freedom and represent a violation of democratic norms.","A new Justice Department policy said federal prosecutors “will continue to employ procedural protections to limit the use of compulsory legal process to obtain information from or records of members of the news media.” Previously, protections included requiring senior-level Justice Department approvals before seeking court orders for such information. The memo did not include those protections.",,Norm Violation,
,4/25/2025,‘Vaguely Threatening’: Federal Prosecutor Queries Leading Medical Journal,"Rosenbluth, Teddy. ““Vaguely Threatening”: Federal Prosecutor Queries Leading Medical Journal.” The New York Times, 25 Apr. 2025, www.nytimes.com/2025/04/25/health/nejm-prosecutor-letter.html.

‌","Scientific publication, just like any publication, is protected speech. Targeting journals for publishing certain views is government overreach and censorship. ","A federal prosecutor appointed by the Trump administration sent accusatory letters to the New England Journal of Medicine, questioning their editorial bias and independence. The New England Journal of Medicine is considered the most prestigious medical review in the world. The letters were described by NEJM's editor-in-chief as ""threatening,"" and an attempt to intimidate these journals into publishing topics in science that is aligned with Trump administration's views and agenda, like on vaccines, climate change, and diet. Importantly, the NEJM condemned Trump's response to COVID in 2020, though it is insufficient to declare this editorial with today's letter as linked. ",,Norm Violation,
,5/22/2025,Trump Administration Says It Is Halting Harvard’s Ability to Enroll International Students - NYT,"Schmidt, Michael S., and Michael C. Bender. ""Trump Administration Blocks Harvard from Enrolling Foreign Students."" The New York Times, 22 May 2025, https://www.nytimes.com/2025/05/22/us/politics/trump-harvard-international-students.html. Accessed 22 May 2025.",This continues the Trump administration's efforts to punish higher education institutions after Harvard resisted a set of demands by the Trump administration. The efforts are part of the Administration's crackdown on academic independence and a violation of establish democratic norms.,"The Trump administration has halted Harvard's ability to enroll international students. This continues the administration's efforts to pressure Harvard to acquiesce to their demands. Kristi Noem, the Secretary of Homeland Security, revoked Harvard's Student and Exchange Visitor Program certification. International students make up 27% of the student population and are a crucial funding source for the university",,Norm Violation,
,5/20/2025,Rep. McIver Charged With Assault Over Clash Outside Newark ICE Center - NYT,"Ferré-Sadurní, Luis. ""Rep. McIver Charged With Assault Over Clash Outside Newark ICE Center."" The New York Times, 19 May 2025, https://www.nytimes.com/2025/05/19/nyregion/new-jersey-congress-ice-charges.html. Accessed 20 May 2025.","Although unclear, the indictment of a sitting Democratic Representative may be an effort to punish dissent and opposition. ",The Department of Justice has charged Democratic Representative LaMonica McIver with assaulting federal agents outside a Newark immigration detention center. The government argues that the Representative instigated a clash with ICE Agents. Both sides have released video footage contesting the other's side. McIver visited the detention center on May 9th with two other lawmakers. ,,Norm Violation,
,5/22/2025,All the Actions the Trump Administration Has Taken Against Harvard - NYT,"Bender, Micheal C. ""All the Actions the Trump Administration Has Taken Against Harvard."" The New York Times, 22 May 2025. https://www.nytimes.com/2025/05/22/us/politics/harvard-university-trump.html?smid=url-share Accessed 28 May 2025. ","Harvard is one of the few academic institutions to resist the pressure campaign by the Trump administration. Through their campaign, the Trump administration is targeting dissent, diversity efforts, and independence among Harvard and academia. Academic institutions, especially higher education, are active and integral parts of civil society. If successful in silencing Harvard, the administration would see a major victory against civil society will and capacity.","President Trump and his administration have launched a massive pressure campaign against Harvard since the school resisted their demands regarding admissions, curriculum, and hiring. The campaign involves eight investigations over six agencies, revoking nearly 4 billion dollars in funding. The administration has targeted higher education, especially elite or Ivy League institutions, to diminish academia's perceived left-wing bias. This article details the actions the administration has taken against Harvard. ",,Norm Violation,
,06/07/2025,Trump Is Calling Up National Guard Troops Under a Rarely Used Law - NYT,"Hubler, Shawn & Rosenhall, Laurel. ""Trump Is Calling Up National Guard Under a Rarely Used Law."" The New York Times. 7 June 2025. https://www.nytimes.com/2025/06/07/us/trump-national-guard-deploy-rare.html","The federal deployment of the National Guard has not occurred since 1965. The unprecedented domestic military deployment threatens to politicize the military in a battle over dissent. The politicization of the military would expand Presidential control over a traditionally apolitical body, which he could use for domestic law enforcement, as it appears he is doing here. This would represent a major breakdown of democratic norms and the deployment represents an attack on civil society's ability to dissent. ","President Trump has mobilized the California National Guard to quell anti-ICE protests in California, without request from California Governor Gavin Newsom. The administration did so under ""10 U.S.C. 12460,"" which allows the federal deployment of the National Guard when there is a rebellion or a danger of a rebellion in the United States."" The national guard has not been deployed federally since 1965, when President Lyndon B. Johnson sent troops to Alabama to protect civil rights demonstrators in 1965. The administration argues that demonstrators were endangering ICE officers and preventing them from carrying out their duties. The protests had been unruly, but the LA police did not request additional support. California has sued the administration.",,Norm Violation,
,06/09/2025,US deploys Marines to Los Angeles as police break up fourth day of protests - Reuters,"Hesson, Ted. ""US Deploys Marines to Los Angeles as Police Break Up Fourth Day of Protests."" Reuters, 9 June 2025, https://www.reuters.com/world/us/los-angeles-police-order-immigration-protesters-downtown-go-home-2025-06-09/. Accessed 9 June 2025.","Domestic military deployment for policing has not occurred since 1992, when 50 people were killed and the Governor requested support. The administration's deployment of the Marines threatens to politicize the military and suppress dissent.  The military's apolitical nature is an established norm that prevents it from being used to punish dissenters and suppress the population. The right to protest is a constitutional right that supports American democracy.","The US military has temporarily deployed approximately 700 Marines to Los Angeles until more National Guard troops arrive. It follows the President's deployment of the National Guard in response to large California protests regarding immigration raids. US Marines have been deployed domestically before, in the wake of 9/11, but are rarely used for domestic policing. The protests had resulted in property damage and a few dozen arrests. Five officers sustained minor injuries. Some in the crowd had punched and thrown eggs at a Trump supporter. California had not requested support. In 1992, George H.W. Bush deployed the military under the Insurrection Act, at the request of the Governor when 50 people were killed in demonstrations. ",,Norm Violation,
